Car Name,Rating,Exterior & Body,Engine/Transmission/Clutch,Suspension/Steering,Interior,AC/Heater,Model Date,Mileage,Fuel Type,Transmission,Last Updated Date,Offer URL,Price_numeric
KIA Sportage FWD 2021,8.8/10,67%,100%,100%,93%,100%,2021.0,"34,971 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-karachi-7944269,6900000.0
MG HS Trophy 2022,9.8/10,93%,100%,100%,98%,100%,2022.0,"20,115 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/mg-hs-2022-for-sale-in-lahore-8146390,7300000.0
Honda N Wgn G 2021,9.5/10,87%,100%,100%,96%,100%,2021.0,"7,374 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-n-wgn-2021-for-sale-in-rawalpindi-8147746,3395000.0000000005
Suzuki Wagon R AGS 2022,9.7/10,97%,100%,100%,88%,100%,2022.0,"32,443 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-islamabad-8120961,3300000.0
Honda N Wgn G 2020,9.3/10,81%,100%,100%,91%,100%,2020.0,"13,616 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-n-wgn-2020-for-sale-in-lahore-8025722,3850000.0
Honda City 1.2L CVT 2022,9.6/10,87%,100%,100%,100%,100%,2022.0,"7,499 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-8124353,4680000.0
KIA Sorento 2.4 AWD 2021,9.8/10,94%,100%,100%,97%,100%,2021.0,"48,093 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-sorento-2021-for-sale-in-islamabad-8104258,8400000.0
BMW X1 sDrive18i 2021,9.8/10,94%,100%,100%,98%,100%,2021.0,"13,092 km",Hybrid,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/bmw-x1-2021-for-sale-in-islamabad-7873433,13700000.000000002
Hyundai Sonata 2.5 2021,9.8/10,93%,100%,100%,100%,100%,2021.0,"12,339 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-sonata-2021-for-sale-in-islamabad-8014607,10000000.0
Toyota Corolla Altis Grande CVT-i 1.8 2017,8.8/10,61%,100%,100%,100%,100%,2017.0,"76,356 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-rawalpindi-8116253,5300000.0
DFSK Glory 580 Pro 2022,9.7/10,89%,100%,100%,100%,100%,2022.0,"19,329 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/dfsk-glory-580-2022-for-sale-in-karachi-8113480,6100000.0
KIA Sportage AWD 2021,9.4/10,80%,100%,100%,98%,100%,2021.0,"66,483 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-islamabad-8009402,7400000.0
KIA Sorento 2.4 FWD 2022,9.9/10,97%,100%,100%,100%,100%,2022.0,"22,331 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-sorento-2022-for-sale-in-islamabad-8043858,8500000.0
Audi Q7 3.0 TFSI 2017,9.2/10,82%,100%,100%,85%,100%,2017.0,"155,265 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/audi-q7-2017-for-sale-in-islamabad-8103932,24000000.0
Honda City 1.5L CVT 2022,9.9/10,98%,100%,100%,100%,100%,2022.0,"6,857 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-rawalpindi-8085942,5250000.0
KIA Sorento 2.4 FWD 2022,10/10,100%,100%,100%,100%,100%,2022.0,"6,088 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/kia-sorento-2022-for-sale-in-islamabad-8035900,9000000.0
Suzuki Alto L 2020,9.9/10,96%,100%,100%,98%,100%,2020.0,"5,171 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-karachi-7972324,3450000.0
Honda BR-V i-VTEC S 2021,9.9/10,95%,100%,100%,100%,100%,2021.0,"14,025 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-br-v-2021-for-sale-in-karachi-8123013,5900000.0
Honda Civic Oriel 1.8 i-VTEC CVT 2019,9.1/10,72%,100%,100%,95%,100%,2019.0,"36,761 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-karachi-8121142,5550000.0
Honda Civic Oriel 1.8 i-VTEC CVT 2019,9.1/10,74%,100%,100%,97%,100%,2019.0,"55,063 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-karachi-8080176,5350000.0
Honda Civic Oriel 1.8 i-VTEC CVT 2021,9.8/10,93%,100%,100%,100%,100%,2021.0,"13,923 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-lahore-8102699,7200000.0
Toyota Sienta G 2018,9.9/10,97%,100%,100%,100%,100%,2018.0,"95,830 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-sienta-2018-for-sale-in-lahore-8008050,6690000.000000001
Toyota Corolla Axio G 2018,9.6/10,87%,100%,100%,100%,100%,2018.0,"59,598 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-axio-2018-for-sale-in-islamabad-8058905,7500000.0
Peugeot 2008 Allure 2022,9.0/10,68%,100%,100%,98%,100%,2022.0,"39,165 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/peugeot-2008-2022-for-sale-in-lahore-7955319,6400000.0
Toyota Hilux Revo V Automatic 2.8 2021,8.7/10,57%,100%,100%,95%,100%,2021.0,"35,866 km",Diesel,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-lahore-8023920,12800000.0
Toyota Corolla Altis Grande CVT-i 1.8 2017,9.6/10,93%,100%,100%,99%,100%,2017.0,"41,510 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-8054388,5200000.0
Toyota Fortuner 2.7 VVTi 2020,9.9/10,97%,100%,100%,100%,100%,2020.0,"14,687 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-fortuner-2020-for-sale-in-lahore-7962527,16000000.0
Hyundai Elantra GLS 2022,9.7/10,94%,100%,100%,95%,100%,2022.0,"8,376 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/hyundai-elantra-2022-for-sale-in-lahore-8036782,7000000.0
Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,9.8/10,92%,100%,100%,97%,100%,2021.0,"57,815 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-8147119,6500000.0
Toyota Hilux Revo Rocco 2022,9.9/10,97%,100%,100%,100%,100%,2022.0,"16,938 km",Diesel,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-hilux-2022-for-sale-in-gujranwala-8026057,13899999.999999998
Daihatsu Mira X SA lll 2020,9.4/10,81%,100%,100%,97%,100%,2020.0,"21,849 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/daihatsu-mira-2020-for-sale-in-gujranwala-8133763,3490000.0
Honda Civic Oriel 1.8 i-VTEC CVT 2021,9.4/10,83%,100%,100%,95%,100%,2021.0,"56,081 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-gujranwala-8079212,7000000.0
Toyota Corolla Altis Automatic 1.6 2020,8.7/10,58%,100%,100%,97%,100%,2020.0,"51,790 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-gujranwala-7968873,5000000.0
Toyota Yaris 2013,8.0/10,42%,98%,100%,92%,100%,2013.0,"122,481 km",Hybrid,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-2013-for-sale-in-gujranwala-7979663,3600000.0
Toyota Land Cruiser ZX 2013,9.7/10,91%,100%,100%,97%,100%,2013.0,"33,968 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-land-cruiser-2013-for-sale-in-karachi-8107604,40000000.0
Toyota Corolla Altis X Automatic 1.6 2022,9.0/10,69%,100%,100%,90%,100%,2022.0,"17,799 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-8110606,5850000.0
Honda Civic 1.8 i-VTEC CVT 2020,9.8/10,94%,100%,100%,98%,100%,2020.0,"38,443 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-karachi-8054362,5400000.0
Toyota Yaris Hatchback G 1.0 2020,9.1/10,71%,100%,100%,100%,100%,2020.0,"61,872 km",Petrol,Automatic,"Nov 29, 2023",https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-karachi-7937487,4900000.0
